ID,Nom_Pays,Zone
1,Palestine,East Jerusalem
2,Palestine,Gaza Strip
3,Palestine,Gaza Strip
4,Palestine,Gaza Strip
5,Palestine,Gaza Strip
6,Palestine,Gaza Strip
7,Palestine,The West Bank (Excluding East Jerusalem)
8,Palestine,The West Bank (Excluding East Jerusalem)
9,Palestine,The West Bank (Excluding East Jerusalem)
10,Palestine,The West Bank (Excluding East Jerusalem)
11,Palestine,The West Bank (Excluding East Jerusalem)
12,Palestine,The West Bank (Excluding East Jerusalem)
13,Palestine,The West Bank (Excluding East Jerusalem)
14,Palestine,The West Bank (Excluding East Jerusalem)
15,Palestine,The West Bank (Excluding East Jerusalem)
16,Palestine,The West Bank (Excluding East Jerusalem)
17,Palestine,The West Bank (Excluding East Jerusalem)
18,Palestine,The West Bank (Excluding East Jerusalem)
19,Palestine,The West Bank (Excluding East Jerusalem)
20,Palestine,Gaza Strip
21,Palestine,Gaza Strip
22,Palestine,Gaza Strip
23,Palestine,Gaza Strip
24,Palestine,Gaza Strip
25,Palestine,East Jerusalem
26,Palestine,Gaza Strip
27,Palestine,The West Bank (Excluding East Jerusalem)
28,Palestine,The West Bank (Excluding East Jerusalem)
29,Palestine,The West Bank (Excluding East Jerusalem)
30,Palestine,The West Bank (Excluding East Jerusalem)
31,Palestine,The West Bank (Excluding East Jerusalem)
32,Palestine,The West Bank (Excluding East Jerusalem)
33,Palestine,The West Bank (Excluding East Jerusalem)
34,Palestine,The West Bank (Excluding East Jerusalem)
35,Palestine,The West Bank (Excluding East Jerusalem)
36,Palestine,The West Bank (Excluding East Jerusalem)
37,Palestine,The West Bank (Excluding East Jerusalem)
38,Palestine,The West Bank (Excluding East Jerusalem)
39,Palestine,The West Bank (Excluding East Jerusalem)
40,Palestine,The West Bank (Excluding East Jerusalem)
41,Palestine,East Jerusalem
42,Palestine,Gaza Strip
43,Palestine,Gaza Strip
44,Palestine,Gaza Strip
45,Palestine,Gaza Strip
46,Palestine,Gaza Strip
47,Palestine,The West Bank (Excluding East Jerusalem)
48,Palestine,The West Bank (Excluding East Jerusalem)
49,Palestine,The West Bank (Excluding East Jerusalem)
50,Palestine,The West Bank (Excluding East Jerusalem)
51,Palestine,The West Bank (Excluding East Jerusalem)
52,Palestine,The West Bank (Excluding East Jerusalem)
53,Palestine,The West Bank (Excluding East Jerusalem)
54,Palestine,The West Bank (Excluding East Jerusalem)
55,Palestine,The West Bank (Excluding East Jerusalem)
56,Palestine,The West Bank (Excluding East Jerusalem)
57,Palestine,The West Bank (Excluding East Jerusalem)
58,Palestine,The West Bank (Excluding East Jerusalem)
59,Palestine,East Jerusalem
60,Palestine,East Jerusalem
61,Palestine,Gaza Strip
62,Palestine,Gaza Strip
63,Palestine,Gaza Strip
64,Palestine,Gaza Strip
65,Palestine,Gaza Strip
66,Palestine,The West Bank (Excluding East Jerusalem)
67,Palestine,The West Bank (Excluding East Jerusalem)
68,Palestine,The West Bank (Excluding East Jerusalem)
69,Palestine,The West Bank (Excluding East Jerusalem)
70,Palestine,The West Bank (Excluding East Jerusalem)
71,Palestine,The West Bank (Excluding East Jerusalem)
72,Palestine,The West Bank (Excluding East Jerusalem)
73,Palestine,The West Bank (Excluding East Jerusalem)
74,Palestine,East Jerusalem
75,Palestine,East Jerusalem
76,Palestine,Gaza Strip
77,Palestine,Gaza Strip
78,Palestine,Gaza Strip
