ID,Année,Pays,GDP (en TND),Population,Le Produit Intérieur brut (%),Taux de fécondité,Taux de mortalité infantille (pour 1 000 naissances vivantes),Taux de mortalité maternelle (pour 1 00000 naissances vivantes),Production agricole (en USD),Personnel militaire actif,Personnel militaire de réserve,Taux dalphabetisation(%),La production informatique (en USD),Le nombre de chars dassut,Le nombre de sous marines,Le nombre de véhicules,Personnel militaire,PIB Catégorie ,Unités de logement,Personnes rendues sans abri,Mineurs rendus sans abri,Zone,Type de structure,Portée de la démolition,District,Raison de la démolition,Démolition effectuée par
1,2004-01-01,Palestine,1.26 billion,"3,791,000",10.5,4.95,21.6,29.4,876.0,0,0,92.1,0.154 billion,0,0.0,0,0 - 0,High PIB,53,194,110,East Jerusalem,Residential Structure,,East Jerusalem,Demolition on the pretext of unlawful construction,Authorities
2,2004-01-01,Palestine,1.26 billion,"3,791,000",10.5,4.95,21.6,29.4,876.0,0,0,92.1,0.154 billion,0,0.0,0,0 - 0,High PIB,27,138,0,Gaza Strip,Residential Structure,Complete Demolition,Deir al-Balah,Demolition for alleged military purposes,
3,2004-01-01,Palestine,1.26 billion,"3,791,000",10.5,4.95,21.6,29.4,876.0,0,0,92.1,0.154 billion,0,0.0,0,0 - 0,High PIB,64,123,0,Gaza Strip,Residential Structure,Complete Demolition,Gaza,Demolition for alleged military purposes,
4,2004-01-01,Palestine,1.26 billion,"3,791,000",10.5,4.95,21.6,29.4,876.0,0,0,92.1,0.154 billion,0,0.0,0,0 - 0,High PIB,408,"3,023",0,Gaza Strip,Residential Structure,Complete Demolition,Khan Yunis,Demolition for alleged military purposes,
5,2004-01-01,Palestine,1.26 billion,"3,791,000",10.5,4.95,21.6,29.4,876.0,0,0,92.1,0.154 billion,0,0.0,0,0 - 0,High PIB,123,975,0,Gaza Strip,Residential Structure,Complete Demolition,North Gaza,Demolition for alleged military purposes,
6,2004-01-01,Palestine,1.26 billion,"3,791,000",10.5,4.95,21.6,29.4,876.0,0,0,92.1,0.154 billion,0,0.0,0,0 - 0,High PIB,756,"6,325",0,Gaza Strip,Residential Structure,Complete Demolition,Rafah,Demolition for alleged military purposes,
7,2004-01-01,Palestine,1.26 billion,"3,791,000",10.5,4.95,21.6,29.4,876.0,0,0,92.1,0.154 billion,0,0.0,0,0 - 0,High PIB,4,15,0,The West Bank (Excluding East Jerusalem),Residential Structure,Complete Demolition,Bethlehem,Demolition for alleged military purposes,
8,2004-01-01,Palestine,1.26 billion,"3,791,000",10.5,4.95,21.6,29.4,876.0,0,0,92.1,0.154 billion,0,0.0,0,0 - 0,High PIB,9,44,0,The West Bank (Excluding East Jerusalem),Residential Structure,Complete Demolition,Herbon,Demolition for alleged military purposes,
9,2004-01-01,Palestine,1.26 billion,"3,791,000",10.5,4.95,21.6,29.4,876.0,0,0,92.1,0.154 billion,0,0.0,0,0 - 0,High PIB,3,19,0,The West Bank (Excluding East Jerusalem),Residential Structure,Complete Demolition,Jenin,Demolition for alleged military purposes,
10,2004-01-01,Palestine,1.26 billion,"3,791,000",10.5,4.95,21.6,29.4,876.0,0,0,92.1,0.154 billion,0,0.0,0,0 - 0,High PIB,9,36,0,The West Bank (Excluding East Jerusalem),Residential Structure,Complete Demolition,Jericho,Demolition for alleged military purposes,
